PLAYER,POS,LANE AGILITY TIME ,SHUTTLE RUN ,THREE QUARTER SPRINT ,STANDING VERTICAL LEAP ,MAX VERTICAL LEAP ,MAX BENCH PRESS 
Max Abmas,PG,10.9,3.49,3.12,28.5,32.5,-
Ochai Agbaji,SG,10.88,3.1,3.13,32,41.5,-
Marcus Bagley,SF,12.26,3.1,3.17,32.5,38.5,-
Scottie Barnes,SF,10.88,2.99,3.15,36,39.5,-
Charles Bassey,C,12.19,3.33,3.13,33,36,-
Brandon Boston Jr.,SF,-,-,-,-,-,-
James Bouknight,SG,-,-,-,-,-,-
Greg Brown III,PF,10.98,2.98,3.19,33.5,39,-
Jared Butler,PG,-,-,-,-,-,-
Julian Champagnie,SF,12.38,3.2,3.2,26,32,-
Justin Champagnie,PF,11.94,3.14,3.34,27,35,-
Josh Christopher,SG,11.32,3.3,3.14,29.5,37.5,-
Sharife Cooper,PG,-,-,-,-,-,-
Cade Cunningham,PG,-,-,-,-,-,-
Ayo Dosunmu,SG,11.51,3.27,3.23,27,33.5,-
David Duke Jr.,SG,11.21,3.19,3.08,30,39,-
Kessler Edwards,PF,11.3,3.38,3.25,28,37,-
Luka Garza,C,11.9,3.38,3.51,24,29.5,-
RaiQuan Gray,PF,11.69,3.3,3.25,26.5,31.5,-
Jalen Green,SG,-,-,-,-,-,-
Quentin Grimes,SG,11.09,3.33,3.07,30.5,38.5,-
Sam Hauser,SF,11.14,3.07,3.34,28.5,34.5,-
Aaron Henry,SF,11.68,3.18,3.07,29,35,-
Ariel Hukporti,C,12.2,3.53,3.12,24.5,31,-
Matt Hurt,PF,11.44,3.25,3.34,25.5,32.5,-
Nah'Shon Hyland,SG,10.53,3.17,3.1,26.5,34,-
Isaiah Jackson,C,-,-,-,-,-,-
David Johnson,SG,12.02,3.2,3.03,33,39,-
Jalen Johnson,PF,-,-,-,-,-,-
Keon Johnson,SG,11.45,3.2,3,41.5,48,-
Carlik Jones,PG,10.96,3.23,3.16,31.5,36,-
Kai Jones,PF,-,-,-,-,-,-
Herbert Jones,SF,11.02,3.17,3.25,28.5,36.5,-
Johnny Juzang,SG,11.13,3.08,3.13,31,36.5,-
Corey Kispert,SF,10.91,2.99,3.12,30,37.5,-
Jonathan Kuminga,SF,-,-,-,-,-,-
AJ Lawson,SG-SF,11,3.01,2.98,33,41,-
Scottie Lewis,SF,10.45,3.03,2.98,34,42,-
Isaiah Livers,SF,-,-,-,-,-,-
Makur Maker,C,11.87,3.28,3.34,25.5,31,-
Sandro Mamukelashvili,C,11.63,3.3,3.21,30.5,36.5,-
Tre Mann,PG,-,-,-,-,-,-
Matthew Mayer,PF,-,-,-,-,-,-
Miles McBride,PG,11.08,3.13,3.1,31,38.5,-
Davion Mitchell,PG,-,-,-,-,-,-
Evan Mobley,PF,-,-,-,-,-,-
Isaiah Mobley,PF,12.7,3.5,3.3,26.5,32,-
Moses Moody,SG,-,-,-,-,-,-
Trey Murphy III,SF,11.65,3.32,3.14,34,38,-
Daishen Nix,PG,11.72,3.18,3,29.5,36.5,-
John Petty Jr.,SG,11.51,3.17,3.35,27.5,34,-
Yves Pons,PF,10.89,3.05,3.1,36,42.5,-
Jason Preston,PG,10.82,3.08,3.13,30.5,38.5,-
Joshua Primo,SG,10.97,3.36,3.22,30.5,37.5,-
Roko Prkacin,PF,-,-,-,-,-,-
Neemias Queta,C,11.85,3.5,3.29,27,33,-
Austin Reaves,SG,10.94,3.19,3.07,25,35,-
Jeremiah Robinson-Earl,PF,11.64,3.15,3.29,27,32,-
Terrence Shannon Jr.,SF,11.51,3.12,3.21,32.5,39.5,-
Day'Ron Sharpe,C,-,-,-,-,-,-
Jericho Sims,C,11.59,3.38,3.05,37,44.5,-
Jaden Springer,SG,11.46,3.1,3.13,34.5,41.5,-
DJ Steward,PG,11.14,3.1,3.08,34.5,38.5,-
Cam Thomas,SG,-,-,-,-,-,-
JT Thor,PF,12.19,3.08,3.06,31.5,35,-
Isaiah Todd,PF,11.38,3.25,3.31,28.5,35.5,-
Duane Washington Jr.,SG,11.5,3.06,3.17,29.5,35.5,-
Trendon Watford,PF,11.69,3.23,3.27,28,35,-
Joe Wieskamp,SF,10.7,3.18,3.04,30,42,-
Aaron Wiggins,SG-SF,11.2,3,3.04,29.5,36,-
Ziaire Williams,SF,10.69,3.04,3.12,34,39.5,-
Moses Wright,PF,11.2,3.42,3.15,31.5,38,-
McKinley Wright IV,PG,10.76,3.12,3.08,31.5,38,-
Marcus Zegarowski,PG,11.47,3.26,3.11,30,35.5,-
Precious Achiuwa,PF,-,-,-,-,-,-
Ty-Shon Alexander,SG,11.33,2.47,3.26,28,33,-
Udoka Azubuike,C,11.82,3.61,3.23,37,41,-
Tyler Bey,PF,11.35,2.75,3.17,37,43.5,-
Yoeli Childs,PF,10.87,2.42,3.22,34,38.5,-
Mamadi Diakite,PF,11.95,2.71,3.16,28,37,-
Devon Dotson,PG,10.44,2.22,3.02,31.5,40.5,-
Paul Eboua,SF-PF,10.79,2.44,3.19,33,35.5,-
CJ Elleby,SG-SF,11.25,2.63,3.25,30.5,36.5,-
Trent Forrest,PG,11.04,2.5,3.18,28,34.5,-
Josh Green,SG-SF,10.64,2.28,3.12,30.5,39.5,-
Ashton Hagans,PG,10.82,2.5,3.13,29.5,36.5,-
Joshua Hall,SF,12.16,2.62,3.38,31.5,37.5,-
Jalen Harris,SG,10.59,2.49,3.11,37.5,42.5,-
Markus Howard,PG,11.21,3.17,3.11,30.5,35.5,-
Elijah Hughes,SF-SG,-,-,-,-,-,-
Isaiah Joe,SG,-,-,-,-,-,-
Mason Jones,SG,10.6,2.49,3.33,24,31,-
Nathan Knight,PF-C,11.56,2.96,3.31,23,31.5,-
Theo Maledon,PG,-,-,-,-,-,-
Karim Mane,PG-SG,11.52,2.64,3.04,31,36,-
Naji Marshall,SF,11.77,2.9,3.37,28.5,35,-
Kenyon Martin Jr.,SF-PF,11.93,2.58,3.16,31.5,38.5,-
Skylar Mays,SG,10.65,2.4,3.3,29,37.5,-
Zeke Nnaji,PF-C,10.94,2.72,3.2,33,38,-
Jordan Nwora,SF-PF,11.29,2.66,3.43,29,35,-
Reggie Perry,PF-C,11.26,2.57,3.25,30,33.5,-
Myles Powell,PG-SG,-,-,-,-,-,-
Immanuel Quickley,SG,11.21,2.46,3.17,29.5,35.5,-
Jahmi'us Ramsey,SG,-,-,-,-,-,-
Paul Reed Jr.,PF,12.29,2.67,3.45,26.5,37.5,-
Nick Richards,C,11.42,2.92,3.25,30,34,-
Grant Riller,PG-SG,11.17,2.45,3.07,32.5,39.5,-
Jayden Scrubb,SG-SF,-,-,-,-,-,-
Jalen Smith,PF-C,-,-,-,-,-,-
Cassius Stanley,SG,11.4,2.43,3.09,34.5,44,-
Lamar Stevens,SF-PF,10.35,2.54,3.2,35,41,-
Isaiah Stewart,C,-,-,-,-,-,-
Tyrell Terry,PG,10.78,2.59,3.28,30,34,-
Killian Tillie,PF,11.6,2.62,3.4,27.5,32,-
Xavier Tillman Sr.,PF-C,11.8,3.01,3.49,26,32.5,-
Kaleb Wesson,C,11.73,2.64,3.6,21.5,27,-
Kahlil Whitney,SF,11.17,2.61,3.28,29,39,-
Cassius Winston,PG,11.15,2.74,3.61,24,28,-
Robert Woodard II,SF,11.1,2.49,3.18,32,38,-
Nickeil Alexander-Walker,SG,-,-,-,-,-,-
RJ Barrett,SF,-,-,-,-,-,-
Charles Bassey,C,12.65,3.27,3.53,29,33,7
Darius Bazley,PF,11.09,2.95,3.27,30.5,37,4
Bol Bol,C,-,-,-,-,-,-
Jordan Bone,SG,9.97,2.78,3.08,36,42.5,7
Brian Bowen II,SF,10.98,3.21,3.26,32,35.5,1
Ky Bowman,PG,11.11,3.11,3.26,27.5,33,4
Ignas Brazdeikis,SF,11.06,3.17,3.36,31,36.5,13
O'Shae Brissett,SF-PF,11.3,3.18,3.48,34,37.5,11
Moses Brown,C,11.95,3.3,3.51,27,31,-
Brandon Clarke,SF,10.61,3.05,3.15,34,40.5,10
Nicolas Claxton,C,11.26,3.47,3.36,31.5,36.5,8
Tyler Cook,PF,11.32,3.1,3.28,27.5,32,11
Jarrett Culver,SG,-,-,-,-,-,-
Terence Davis,SG,10.69,2.96,3.28,29.5,34,13
Luguentz Dort,PG,10.79,3.13,3.22,32.5,38,14
Devon Dotson,PG,10.63,2.8,3.04,30,38.5,7
Carsen Edwards,PG,10.53,2.82,3.22,28.5,34,14
Tacko Fall,C,13.01,3.46,3.78,22,26.5,8
Bruno Fernando,C,11.29,3.05,3.21,29.5,33.5,13
Daniel Gafford,PF,11.61,3.19,3.25,32.5,36.5,5
Darius Garland,PG,-,-,-,-,-,-
Quentin Grimes,SG,10.83,3.28,3.2,27.5,36,6
Kyle Guy,SG,10.48,3.07,3.27,30.5,36.5,4
Jaylen Hands,PG,10.73,3.03,3.12,33,41.5,6
Jared Harper,PG,10.77,3.02,3.04,33.5,40.5,8
Jaxson Hayes,PF,11.74,3.23,3.37,27,34.5,5
Dewan Hernandez,C,11.46,3.25,3.28,30.5,35.5,13
Tyler Herro,SG,-,-,-,-,-,-
Jalen Hoard,PF,11.44,3.32,3.34,27.5,35.5,8
Talen Horton-Tucker,SG,11.34,3.43,3.34,26,34.5,10
De'Andre Hunter,,-,-,-,-,-,-
DaQuan Jeffries,SF-PF,-,-,-,-,-,-
Ty Jerome,PG,11.21,3.12,3.4,26,31.5,2
Keldon Johnson,SG,-,-,-,-,-,-
Cameron Johnson,SG,10.52,3.28,3.26,30.5,36.5,-
Mfiondu Kabengele,PF,11.21,3.3,3.25,28,35.5,6
Louis King,SF,10.99,3.05,3.28,29,33,0
Romeo Langford,SG,-,-,-,-,-,-
Dedric Lawson,PF,11.8,3.54,3.6,23.5,26,10
Jalen Lecque,PG,11.09,3.3,3.29,35,43,1
Nassir Little,SF,12.15,3.1,3.24,31,38.5,5
Terance Mann,SG-SF,11.51,3.14,3.3,32.5,38.5,6
Cody Martin,PG-SG,10.44,2.99,3.32,28,35.5,7
Charles Matthews,SG,11.26,3.24,3.38,29.5,37.5,9
Jalen McDaniels,SF,11.54,3.23,3.32,29.5,33.5,0
Ja Morant,PG,-,-,-,-,-,-
Zach Norvell Jr.,SG,11.6,3.34,3.43,24,30,-
Jaylen Nowell,SG,10.76,3.13,3.23,32,38.5,2
Jordan Nwora,PF,-,-,-,-,-,-
Chuma Okeke,,-,-,-,-,-,-
KZ Okpala,SF,10.88,3.13,3.38,30.5,37,9
Miye Oni,SG,11.71,3.12,3.17,30.5,38.5,19
Eric Paschall,SF,11.63,3.26,3.3,33,38,18
Reggie Perry,SF-PF,12.46,3.4,3.3,28.5,31.5,15
Shamorie Ponds,PG,11.01,3.07,3.2,29,37,0
Jordan Poole,SG,10.59,3.14,3.27,28,35.5,-
Jontay Porter,PF,-,-,-,-,-,-
Kevin Porter Jr.,SG,10.82,3.03,3.14,27,34,2
Neemias Queta,C,12.04,3.45,3.73,24,32.5,1
Cameron Reddish,SF,-,-,-,-,-,-
Naz Reid,PF,12.03,3.76,3.42,26,32.5,3
Isaiah Roby,PF,10.63,3.05,3.25,32.5,35.5,9
Luka Samanic,PF,11.01,3.03,3.27,27,38,7
Admiral Schofield,SF,10.77,2.87,3.37,30,34,15
Marial Shayok,SF-PF,11.16,3.04,3.37,29.5,36.5,9
Simisola Shittu,PF,11.85,3.24,3.3,27,35.5,11
Killian Tillie,,-,-,-,-,-,-
P.J. Washington,PF,-,-,-,-,-,-
Tremont Waters,PG,10.76,3.11,3.07,30.5,40.5,5
Quinndary Weatherspoon,SG,11.57,3.15,3.16,31,38,-
Coby White,PG,-,-,-,-,-,-
Kris Wilkes,SF,10.39,3.09,3.34,27.5,35,4
Grant Williams,PF,10.83,3.27,3.33,26,31.5,20
Zion Williamson,PF,-,-,-,-,-,-
Dylan Windler,SF,10.7,2.94,3.3,29,37.5,8
Rawle Alkins,SG,11.5,3.09,3.15,32.5,40.5,10
Grayson Allen,SG,10.31,3.04,3.15,32.5,40.5,-
Kostas Antetokounmpo,PF,12.48,3.48,3.21,29.5,35,0
Udoka Azubuike,C,12.97,3.65,3.12,31,31.5,11
Mohamed Bamba,C,-,-,-,-,-,-
Jaylen Barford,PG-SG,11.39,3.21,3.31,27,33,7
Keita Bates-Diop,SG-SF,11.2,3.28,3.17,30.5,35,11
Tyus Battle,SG,11.04,2.87,3.07,32,37.5,9
Brian Bowen,SG-SF,11.58,3.33,3.28,30.5,34,0
Miles Bridges,SF,-,-,-,-,-,-
Bruce Brown,SG-PG,11.11,3.44,3.2,32.5,38,17
Troy Brown,SF,11.51,3.29,3.33,26,33,5
Jalen Brunson,PG,10.59,3.11,3.15,29,37,7
Tony Carr,PG,11.89,3.4,3.17,25,31.5,0
Jevon Carter,PG,11.04,3.05,3.18,29,36.5,14
Wendell Carter,C-PF,-,-,-,-,-,-
Donte DiVincenzo,SG,10.72,3.12,3.11,34.5,42,12
Hamidou Diallo,SG,10.53,3.14,3.1,32.5,40.5,1
Trevon Duval,PG,10.93,3.09,3.18,34,41.5,6
Carsen Edwards,PG,11.59,3.15,3.2,28.5,34.5,12
Keenan Evans,PG,-,-,-,-,-,-
Jacob Evans,SG-SF,11.11,3.14,3.2,28,35.5,8
Bruno Fernando,C,12.19,3.03,3.23,29,35,11
Melvin Frazier,SF-SG,11.24,3.08,3.08,31,40.5,0
Shai Gilgeous-Alexander,PG,-,-,-,-,-,-
Devonte Graham,PG,11.28,3.15,3.21,31,37,14
Isaac Haas,C,-,-,-,-,-,-
Devon Hall,SG,10.95,3.16,3.27,25,31,6
Jaylen Hands,PG,12.11,3.16,3.13,31.5,39.5,6
Kevin Hervey,PF,11.28,3.15,3.36,27.5,32,4
Aaron Holiday,PG,10.96,3.22,3.27,25.5,33,-
Kevin Huerter,SG,10.89,2.97,3.09,31,38,9
Jaren Jackson,PF-C,-,-,-,-,-,-
Justin Jackson,PF,-,-,-,-,-,-
Alize Johnson,PF,11.83,3.28,3.38,25,31,8
George King,SF-SG,10.75,3.08,3.29,31,39,15
Kevin Knox,SF,-,-,-,-,-,-
Sagaba Konate,C,12.28,3.36,3.28,31.5,35,12
Caleb Martin,SF-SG,10.43,2.75,3.26,29,36.5,6
Cody Martin,SG-SF,10.64,3.05,3.09,29,36.5,4
Yante Maten,PF-C,11.35,3.13,3.17,27,31.5,18
Brandon McCoy,C,11.77,3.31,3.23,27.5,32,9
DeAnthony Melton,SG-PG,11.48,3.33,3.23,31,36.5,1
Chimezie Metu,PF-C,11.89,3.25,3.33,29.5,36,5
Shake Milton,SG-PG,11.07,3.19,3.25,30,33,2
Sviatoslav Mykhailiuk,SG-SF,11.25,3.18,3.15,30.5,37,4
Malik Newman,SG,10.9,3.18,3.13,27.5,33.5,-
Josh Okogie,SG,11.08,3.03,3.04,33,42,12
Theo Pinson,SG-SF,11.53,3.11,3.22,27,34,7
Jontay Porter,C-PF,11.9,3.07,3.4,25.5,31,9
Michael Porter,SF-PF,-,-,-,-,-,-
Billy Preston,PF,11.26,3.35,3.2,25,33,0
Jerome Robinson,SG,-,-,-,-,-,-
Collin Sexton,PG,-,-,-,-,-,-
Landry Shamet,PG,11.26,3.21,3.11,31,39.5,8
Anfernee Simons,SG-PG,11.27,3.16,3.1,32,41.5,1
Zhaire Smith,SF-SG,11.02,3.15,3.05,33,41.5,10
Ray Spalding,PF,11.48,3.2,3.34,26,32,12
Omari Spellman,PF-C,12.28,3.35,3.38,28.5,35.5,8
Khyri Thomas,SG,10.96,3.18,3.18,30,35,14
Gary Trent,SG,11.37,2.99,3.12,33.5,39.5,12
Allonzo Trier,SG,11.02,2.97,3.14,32,40,11
Moritz Wagner,C-PF,11.48,3.07,3.18,27,34,8
Lonnie Walker,SG,10.87,2.91,3.06,31.5,40,12
PJ Washington,PF,11.39,3.43,3.2,27,34,3
Austin Wiley,C,12.79,3.27,3.3,28,33.5,14
Kris Wilkes,SF,11.29,3.16,3.24,28,35.5,1
Kenrich Williams,SF,10.86,3.28,3.19,28,33,14
Trae Young,PG,-,-,-,-,-,-
Bam Adebayo,PF-C,11.94,3.24,3.24,33.5,38.5,12
Rawle Alkins,SG-SF,11.99,3.18,3.3,31.5,40.5,7
Jarrett Allen,C,11.82,3,3.21,31.5,35.5,4
Kadeem Allen,PG,11.24,2.98,3.15,33,35.5,7
Ike Anigbogu,C,12.52,3.48,3.44,29.5,32.5,11
OG Anunoby,SF,-,-,-,-,-,-
Jamel Artis,SG-SF,11.62,3.08,3.44,23.5,31,5
Dwayne Bacon,SG-SF,11.7,3.22,3.22,30,36.5,8
V.J. Beachem,SG-SF,11.18,3.19,3.26,30,37,11
Jordan Bell,PF,10.63,2.83,3.21,31.5,38,16
Jaron Blossomgame,SF,11.47,3.35,3.17,31,35.5,16
Chris Boucher,PF,-,-,-,-,-,-
Tony Bradley,C,11.79,2.99,3.44,24.5,27.5,5
Isaiah Briscoe,PG,10.95,2.85,3.38,28,33.5,11
Dillon Brooks,SG-SF,11.14,3.24,3.21,31,37.5,16
Thomas Bryant,PF-C,11.42,3.12,3.37,25.5,33,7
Zach Collins,PF-C,-,-,-,-,-,-
John Collins,PF,11.66,3.27,3.27,33,37.5,15
Hamidou Diallo,SG-SF,10.88,2.79,3.11,34.5,44.5,0
Tyler Dorsey,SG,10.55,2.98,3.16,30.5,36,8
Damyean Dotson,SG-SF,11.18,3.03,3.13,31.5,38,13
PJ Dozier,SG,10.84,2.98,3.15,34,39,9
Jawun Evans,PG,11.34,3.26,3.21,27.5,33.5,1
Terrance Ferguson,SG-SF,11.16,3.22,3.32,28.5,38,-
De?Aaron Fox,PG,-,-,-,-,-,-
Markelle Fultz,PG,-,-,-,-,-,-
Harry Giles,PF,11.08,3,3.34,27,32.5,5
Josh Hart,SG-SF,11.15,3.02,3.18,27.5,35.5,9
Nigel Hayes,PF,11.81,2.94,3.27,29,33.5,16
Isaiah Hicks,PF,12.31,3.31,3.36,31.5,37,11
Wesley Iwundu,SG-SF,11.25,3.23,3.36,31.5,36,5
Frank Jackson,PG,10.94,2.7,3.14,34.5,42,9
Justin Jackson (UMD),SF,11.78,3.08,3.43,26.5,31.5,-
Justin Jackson (UNC),SF,10.8,3.06,3.3,29.5,35.5,-
Peter Jok,SG-SF,11.34,2.93,3.41,26.5,31,-
Luke Kennard,SG-SF,-,-,-,-,-,-
Kyle Kuzma,SF-SG,10.72,2.98,3.25,27,34,12
TJ Leaf,PF,11.55,3.27,3.27,29,34.5,6
Tyler Lydon,PF,11.68,2.81,3.46,29.5,33.5,1
Frank Mason III,PG,11.41,3.09,3.18,34,41,15
Kennedy Meeks,C,12.91,3.35,3.5,28,30.5,15
Donovan Mitchell,SG,11.53,3.07,3.01,36.5,40.5,10
Monte Morris,PG,11,3.2,3.19,28,33.5,8
Johnathan Motley,PF,-,-,-,-,-,-
Svi Mykhailiuk,SG-SF,12.4,3.25,3.53,27,33,8
Semi Ojeleye,SF-SG,10.58,3.07,3.16,35,40.5,19
Cameron Oliver,PF,12.17,3.31,3.16,28,39.5,5
Justin Patton,C,11.8,3.31,3.46,26,30.5,-
Alec Peters,PF,-,-,-,-,-,-
Ivan Rabb,PF,12.68,3.23,3.35,28.5,32.5,3
Davon Reed,SG-SF,11.37,3.21,3.34,28.5,36,12
Devin Robinson,SF,12.85,3.61,3.23,35.5,41.5,10
Kobi Simmons,PG,11.15,2.98,3.18,30.5,38.5,3
Edmond Sumner,PG,-,-,-,-,-,-
Caleb Swanigan,PF,-,-,-,-,-,-
Sindarius Thornwell,SG-SF,11.48,3.03,3.36,27,30.5,15
Melo Trimble,PG,10.75,2.92,3.27,24.5,32,6
Moritz Wagner,PF,12,2.98,3.35,25.5,32.5,-
Derrick Walton Jr.,PG,11.28,3.12,3.29,26,32.5,9
Thomas Welsh,PF-C,-,-,-,-,-,11
Derrick White,PG,10.84,2.92,3.08,31,36.5,10
Nigel Williams-Goss,PG,10.42,3.08,3.19,27.5,34.5,10
D.J. Wilson,PF,-,-,-,-,-,-
Omer Yurtseven,C,12.85,3.3,3.45,26,31.5,6
